Category: All categories

Region,"Milkshake: (4/10/26, 10:58 PM - 4/11/26, 10:58 PM)","Hamburger: (4/10/26, 10:58 PM - 4/11/26, 10:58 PM)","Breakup: (4/10/26, 10:58 PM - 4/11/26, 10:58 PM)"
North Carolina,22%,65%,13%
South Carolina,23%,65%,12%
Arkansas,21%,68%,11%
West Virginia,24%,60%,16%
Indiana,23%,63%,14%
Alabama,23%,65%,12%
Tennessee,20%,69%,11%
North Dakota,22%,67%,11%
Utah,21%,66%,13%
Kansas,20%,66%,14%
Kentucky,20%,66%,14%
Rhode Island,23%,61%,16%
Virginia,20%,65%,15%
Georgia,21%,67%,12%
Missouri,20%,67%,13%
Delaware,23%,61%,16%
Arizona,22%,65%,13%
Ohio,19%,67%,14%
South Dakota,21%,67%,12%
Illinois,19%,67%,14%
Michigan,18%,69%,13%
Nevada,19%,65%,16%
California,20%,62%,18%
Mississippi,19%,68%,13%
Texas,19%,69%,12%
Florida,19%,68%,13%
Pennsylvania,20%,66%,14%
Idaho,19%,67%,14%
Connecticut,20%,65%,15%
Oklahoma,18%,70%,12%
Nebraska,18%,68%,14%
New Jersey,20%,64%,16%
Colorado,19%,66%,15%
Wisconsin,17%,70%,13%
Louisiana,18%,69%,13%
Oregon,18%,66%,16%
Maryland,20%,63%,17%
District of Columbia,17%,64%,19%
Washington,17%,66%,17%
New Mexico,20%,64%,16%
Massachusetts,19%,63%,18%
Minnesota,17%,67%,16%
Iowa,15%,73%,12%
New York,16%,68%,16%
Alaska,15%,69%,16%
Wyoming,17%,69%,14%
Maine,16%,69%,15%
New Hampshire,15%,66%,19%
Montana,14%,72%,14%
Hawaii,13%,69%,18%
Vermont,14%,68%,18%
